    100     -0.363592530075629E-01      0.119197665292490E-02
    400     -0.104067966070502E-03      0.625778375054315E-05
    700     -0.675244090259011E-05      0.584757257279542E-06
   1000     -0.106992977841058E-05      0.112867863958195E-06
    100      0.664848982553689E-01      0.186891801840775E-03
    400      0.210941746482231E-03      0.133749548127898E-05
    700      0.170497776110188E-04      0.137946325647896E-06
   1000      0.308979543734190E-05      0.282993737291283E-07
   1300      0.827981195721579E-06      0.796169135859855E-08
   1600      0.270932108034799E-06      0.267331392014741E-08
   1900      0.102748506918112E-06      0.100941985061113E-08
   2200      0.412724764459741E-07      0.410943929398049E-09
   2500      0.181757293881792E-07      0.177979903748853E-09
 This data is combined from 
 PK_Plus_all.dat + PK_Regular_all.dat + PK_Delta_all.dat = PK.dat
    100     -0.716581490342070E-01      0.110755044749602E-02
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
    100     -0.673844023027015E-01      0.118688006355681E-02
 This data is combined from 
 PK_Plus.dat + PK_Regular.dat + PK_Delta.dat = PK.dat
